<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.07	15208.89	15430.19	15179.69	15420.19	23611	0	0
2013.06.10	15392.49	15477.39	15383.89	15410.19	16727	0	0
2013.06.11	15403.99	15427.69	15256.59	15299.39	17683	0	0
2013.06.12	15326.79	15420.89	15152.89	15172.49	16129	0	0
2013.06.13	15167.79	15377.79	15054.09	15353.19	18046	0	0
2013.06.14	15370.69	15381.29	15218.29	15244.49	12516	0	0
2013.06.17	15259.49	15436.39	15252.99	15352.89	12152	0	0
2013.06.18	15366.89	15514.99	15351.89	15491.29	12250	0	0
2013.06.19	15488.89	15520.59	15283.79	15288.29	18408	0	0
2013.06.20	15279.29	15283.79	14906.69	14932.69	27925	0	0
2013.06.21	14957.09	15049.69	14860.89	14982.39	27838	0	0
2013.06.24	14951.59	14954.59	14724.39	14835.69	30565	0	0
2013.06.25	14867.59	14987.29	14777.39	14935.69	22796	0	0
2013.06.26	14901.99	15114.79	14869.49	15085.99	18533	0	0
2013.06.27	15070.39	15249.89	15070.39	15197.49	15297	0	0
2013.06.28	15180.79	15248.59	15056.69	15071.99	18008	0	0
2013.07.01	15076.39	15258.29	15039.79	15148.79	17310	0	0
2013.07.02	15145.59	15224.19	15042.89	15102.69	17013	0	0
2013.07.03	15110.79	15200.59	14996.49	15156.69	15735	0	0
2013.07.05	15278.29	15355.29	15143.79	15304.19	20679	0	0
2013.07.08	15343.59	15436.29	15307.79	15396.89	15072	0	0
2013.07.09	15415.79	15495.19	15403.69	15473.89	13107	0	0
2013.07.10	15471.69	15525.39	15431.79	15465.79	17225	0	0
2013.07.11	15591.59	15658.59	15568.79	15634.69	14889	0	0
2013.07.12	15614.19	15671.99	15584.79	15627.79	13239	0	0
2013.07.15	15621.29	15683.79	15614.29	15660.99	9833	0	0
2013.07.16	15653.79	15672.59	15590.49	15626.69	11037	0	0
2013.07.17	15630.59	15676.09	15583.19	15637.99	14862	0	0
2013.07.18	15652.79	15763.19	15635.09	15722.39	11483	0	0
2013.07.19	15697.19	15719.09	15658.49	15718.09	11243	0	0
2013.07.22	15749.99	15771.89	15690.39	15719.69	9972	0	0
2013.07.23	15728.59	15776.99	15718.69	15746.89	9397	0	0
2013.07.24	15750.69	15794.79	15670.49	15717.19	11950	0	0
2013.07.25	15724.49	15734.79	15629.89	15724.09	12420	0	0
2013.07.26	15726.99	15752.19	15576.29	15731.29	12460	0	0
2013.07.29	15726.09	15732.59	15655.99	15698.69	10746	0	0
2013.07.30	15715.99	15767.89	15653.69	15699.09	9670	0	0
2013.07.31	15713.39	15809.29	15663.89	15680.99	13613	0	0
2013.08.01	15708.29	15825.09	15704.79	15797.69	10382	0	0
2013.08.02	15796.99	15833.89	15727.79	15833.89	9544	0	0
2013.08.05	15818.09	15830.69	15757.89	15787.69	7867	0	0
2013.08.06	15768.89	15795.49	15647.69	15692.89	9482	0	0
2013.08.07	15684.69	15685.69	15593.69	15648.09	11805	0	0
2013.08.08	15667.39	15739.39	15591.09	15669.29	10381	0	0
2013.08.09	15659.69	15687.59	15520.69	15599.99	12055	0	0
2013.08.12	15564.79	15616.19	15502.89	15594.29	11078	0	0
2013.08.13	15600.09	15678.99	15516.49	15624.99	11797	0	0
2013.08.14	15621.89	15623.39	15489.09	15511.99	12954	0	0
2013.08.15	15471.79	15505.69	15267.39	15287.39	17525	0	0
2013.08.16	15281.29	15314.79	15229.19	15259.19	14233	0	0
2013.08.19	15255.09	15280.49	15180.19	15180.19	11734	0	0
2013.08.20	15203.09	15248.49	15159.89	15181.69	11104	0	0
2013.08.21	15190.59	15193.79	15054.29	15072.19	15892	0	0
2013.08.22	15006.19	15163.99	15000.69	15138.99	13633	0	0
2013.08.23	15148.29	15200.79	15102.59	15180.39	13051	0	0
2013.08.26	15179.79	15226.79	15117.89	15120.79	10853	0	0
2013.08.27	15112.69	15130.99	14939.19	14948.29	20183	0	0
2013.08.28	14943.69	15042.09	14934.29	15003.39	14365	0	0
2013.08.29	14985.59	15090.39	14978.09	15012.49	14993	0	0
2013.08.30	15037.89	15082.69	14937.29	14974.99	17342	0	0
2013.09.02	15046.39	15109.99	15042.39	15096.39	4799	0	0
2013.09.03	15085.89	15117.69	14951.69	15004.39	20568	0	0
2013.09.04	15001.19	15131.79	14971.69	15105.09	13725	0	0
2013.09.05	15127.89	15160.39	15082.59	15108.59	12374	0	0
2013.09.06	15107.89	15186.89	14963.59	15095.99	13839	0	0
2013.09.09	15117.79	15263.39	15104.29	15232.19	10476	0	0
2013.09.10	15245.59	15365.69	15221.99	15363.69	13030	0	0
2013.09.11	15352.59	15499.69	15342.49	15499.69	11403	0	0
2013.09.12	15511.49	15523.19	15457.89	15477.79	9712	0	0
2013.09.13	15489.29	15557.99	15454.29	15550.29	6575	0	0
2013.09.16	15723.79	15745.39	15645.59	15668.69	7273	0	0
2013.09.17	15655.29	15730.29	15653.29	15703.69	5132	0	0
2013.09.18	15708.29	15885.19	15644.49	15850.79	11247	0	0
2013.09.19	15848.69	15897.89	15801.19	15808.79	8958	0	0
2013.09.20	15802.59	15826.19	15646.09	15650.19	9249	0	0
2013.09.23	15649.09	15697.79	15541.89	15578.69	9376	0	0
2013.09.24	15567.49	15609.69	15502.39	15515.19	8725	0	0
2013.09.25	15518.09	15546.69	15427.19	15452.79	12380	0	0
2013.09.26	15463.59	15560.99	15455.09	15503.39	8516	0	0
2013.09.27	15537.29	15537.29	15384.49	15429.99	10534	0	0
2013.09.30	15340.39	15362.09	15250.99	15307.99	13980	0	0
2013.10.01	15322.89	15383.59	15282.69	15366.29	10386	0	0
2013.10.02	15369.69	15372.19	15217.59	15295.59	15832	0	0
2013.10.03	15222.49	15277.99	15118.29	15170.79	15938	0	0
2013.10.04	15158.69	15259.19	15140.39	15247.79	11679	0	0
2013.10.07	15190.69	15193.69	15091.09	15107.79	14955	0	0
2013.10.08	15095.19	15124.29	14945.99	14953.49	20740	0	0
2013.10.09	14984.79	15026.89	14891.09	14978.39	19261	0	0
2013.10.10	14993.69	15296.19	14991.69	15296.19	14146	0	0
2013.10.11	15268.09	15413.59	15259.49	15413.59	11280	0	0
2013.10.14	15332.99	15485.09	15296.19	15472.69	12002	0	0
2013.10.15	15507.59	15507.59	15337.39	15339.09	16216	0	0
