<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.08.19	08:00:00	27813.50	27840.50	27793.00	27825.00	6364	0	400
2020.08.19	12:00:00	27824.50	27918.00	27779.50	27843.50	14794	0	400
2020.08.19	16:00:00	27844.00	27869.50	27646.50	27696.50	18355	0	400
2020.08.19	20:00:00	27689.50	27714.50	27626.50	27634.50	2894	0	400
2020.08.20	00:00:00	27636.00	27667.00	27458.50	27548.00	8429	0	500
2020.08.20	04:00:00	27548.50	27657.00	27509.50	27621.00	9164	0	400
2020.08.20	08:00:00	27622.50	27658.00	27507.50	27597.00	9963	0	400
2020.08.20	12:00:00	27593.00	27710.00	27534.50	27689.50	18462	0	400
2020.08.20	16:00:00	27691.00	27783.50	27682.00	27742.50	15481	0	400
2020.08.20	20:00:00	27746.50	27807.00	27726.50	27807.00	2581	0	400
2020.08.21	00:00:00	27802.00	27843.00	27759.00	27800.00	7045	0	500
2020.08.21	04:00:00	27799.50	27815.00	27701.50	27749.50	7684	0	400
2020.08.21	08:00:00	27749.00	27749.50	27576.50	27579.50	11088	0	400
2020.08.21	12:00:00	27581.50	27842.00	27526.50	27765.00	22768	0	400
2020.08.21	16:00:00	27765.50	27959.50	27761.00	27934.00	16154	0	400
2020.08.21	20:00:00	27932.00	27947.00	27911.50	27913.50	986	0	400
2020.08.23	20:00:00	27954.50	27997.50	27940.50	27954.50	2334	0	500
2020.08.24	00:00:00	27955.50	28007.50	27930.50	27981.00	6524	0	500
2020.08.24	04:00:00	27980.50	28099.50	27972.00	28078.00	6869	0	400
2020.08.24	08:00:00	28078.50	28201.50	28070.50	28191.50	7701	0	400
2020.08.24	12:00:00	28194.50	28231.50	28038.50	28189.50	19630	0	400
2020.08.24	16:00:00	28188.50	28316.50	28138.00	28310.00	17428	0	400
2020.08.24	20:00:00	28308.50	28343.50	28271.50	28343.50	2642	0	400
2020.08.25	00:00:00	28341.00	28468.50	28313.50	28445.00	7481	0	500
2020.08.25	04:00:00	28445.50	28529.00	28427.50	28490.00	7685	0	400
2020.08.25	08:00:00	28488.00	28499.50	28395.00	28487.00	8650	0	400
2020.08.25	12:00:00	28487.50	28508.00	28093.50	28130.00	21097	0	400
2020.08.25	16:00:00	28131.00	28257.50	28104.50	28247.00	15747	0	400
2020.08.25	20:00:00	28248.50	28265.00	28233.00	28245.50	2214	0	400
2020.08.26	00:00:00	28241.50	28269.00	28174.50	28211.00	6504	0	500
2020.08.26	04:00:00	28211.50	28233.00	28146.00	28211.00	6955	0	400
2020.08.26	08:00:00	28212.00	28245.00	28168.50	28177.00	7536	0	400
2020.08.26	12:00:00	28176.00	28277.50	28149.50	28230.50	15781	0	400
2020.08.26	16:00:00	28231.50	28353.50	28211.50	28325.50	18587	0	400
2020.08.26	20:00:00	28326.50	28387.50	28295.50	28347.50	3155	0	400
2020.08.27	00:00:00	28349.50	28365.50	28278.50	28312.00	6927	0	500
2020.08.27	04:00:00	28312.50	28332.00	28263.00	28309.00	7115	0	400
2020.08.27	08:00:00	28308.50	28309.00	28232.00	28284.00	7693	0	400
2020.08.27	12:00:00	28285.00	28638.50	28281.00	28593.00	25931	0	400
2020.08.27	16:00:00	28593.50	28636.50	28360.50	28497.50	27082	0	400
2020.08.27	20:00:00	28500.50	28578.00	28485.00	28577.50	2654	0	400
2020.08.28	00:00:00	28568.50	28758.50	28519.50	28724.50	8124	0	500
2020.08.28	04:00:00	28724.00	28726.50	28512.00	28588.50	13178	0	400
2020.08.28	08:00:00	28590.00	28682.50	28568.00	28661.50	11813	0	400
2020.08.28	12:00:00	28662.50	28674.00	28484.50	28585.50	21568	0	400
2020.08.28	16:00:00	28585.00	28733.50	28560.50	28665.00	17861	0	400
2020.08.28	20:00:00	28664.00	28682.50	28649.50	28664.50	1166	0	400
2020.08.30	20:00:00	28683.50	28773.50	28683.50	28771.50	2210	0	500
2020.08.31	00:00:00	28773.00	28808.00	28762.00	28794.50	7420	0	500
2020.08.31	04:00:00	28795.00	28796.00	28694.00	28726.00	7675	0	400
2020.08.31	08:00:00	28730.50	28743.00	28653.00	28675.00	8137	0	400
2020.08.31	12:00:00	28673.00	28674.50	28357.50	28430.00	20671	0	400
2020.08.31	16:00:00	28429.50	28543.50	28399.00	28399.00	17969	0	400
2020.08.31	20:00:00	28391.50	28455.50	28334.00	28444.00	4695	0	400
2020.09.01	00:00:00	28440.50	28500.00	28413.50	28461.50	8228	0	500
2020.09.01	04:00:00	28460.50	28563.00	28456.50	28515.00	7689	0	400
2020.09.01	08:00:00	28515.50	28527.00	28396.00	28407.50	9489	0	400
2020.09.01	12:00:00	28406.50	28533.50	28283.50	28495.00	16800	0	400
2020.09.01	16:00:00	28496.50	28659.50	28483.00	28655.50	12436	0	400
2020.09.01	20:00:00	28654.50	28704.00	28629.00	28703.00	2914	0	400
2020.09.02	00:00:00	28702.00	28740.00	28657.00	28704.00	6534	0	500
2020.09.02	04:00:00	28705.00	28793.50	28702.00	28775.50	7677	0	400
2020.09.02	08:00:00	28774.50	28866.00	28758.00	28780.00	8981	0	400
2020.09.02	12:00:00	28779.50	28924.00	28722.00	28855.00	16856	0	400
2020.09.02	16:00:00	28852.00	29165.00	28841.00	29083.00	15918	0	400
2020.09.02	20:00:00	29079.50	29161.50	29065.00	29146.00	3121	0	400
2020.09.03	00:00:00	29136.00	29146.00	29032.00	29102.00	8003	0	500
2020.09.03	04:00:00	29103.00	29188.50	29018.50	29164.50	8853	0	400
2020.09.03	08:00:00	29163.50	29181.50	29037.00	29088.00	10151	0	400
2020.09.03	12:00:00	29083.00	29194.50	28285.50	28506.50	20195	0	400
2020.09.03	16:00:00	28503.50	28579.00	28069.50	28287.50	24074	0	400
2020.09.03	20:00:00	28295.00	28405.50	28126.50	28158.00	8250	0	400
2020.09.04	00:00:00	28165.50	28389.00	28163.00	28274.00	11761	0	500
2020.09.04	04:00:00	28273.00	28480.00	28197.50	28452.50	11139	0	400
2020.09.04	08:00:00	28444.50	28608.50	28344.50	28366.00	13218	0	400
2020.09.04	12:00:00	28368.50	28571.00	27659.50	27842.50	23413	0	400
2020.09.04	16:00:00	27840.00	28349.50	27772.50	28129.00	23968	0	400
2020.09.04	20:00:00	28134.00	28168.00	28076.00	28078.00	1606	0	400
2020.09.06	20:00:00	28139.00	28161.50	27906.00	28078.50	4420	0	500
2020.09.07	00:00:00	28082.50	28209.00	28010.50	28148.00	11125	0	500
2020.09.07	04:00:00	28143.50	28147.00	27985.50	28083.00	12146	0	400
2020.09.07	08:00:00	28085.50	28226.50	28061.00	28198.00	10798	0	400
2020.09.07	12:00:00	28197.00	28323.00	28172.00	28310.00	10104	0	400
2020.09.07	16:00:00	28311.00	28354.00	28293.00	28313.00	1634	0	400
2020.09.07	20:00:00	28305.50	28378.50	28292.00	28342.00	3391	0	500
2020.09.08	00:00:00	28341.00	28376.50	28237.00	28285.50	9805	0	500
2020.09.08	04:00:00	28286.50	28421.00	28269.00	28298.50	10612	0	400
2020.09.08	08:00:00	28299.00	28307.50	27875.00	27976.00	16086	0	400
2020.09.08	12:00:00	27975.00	27979.50	27491.00	27636.00	22830	0	400
2020.09.08	16:00:00	27638.50	27836.00	27463.00	27516.00	20639	0	400
2020.09.08	20:00:00	27507.00	27600.00	27196.50	27421.50	6641	0	400
2020.09.09	00:00:00	27423.50	27546.00	27411.50	27520.00	11580	0	500
2020.09.09	04:00:00	27518.00	27690.50	27374.50	27666.50	11753	0	400
2020.09.09	08:00:00	27667.50	27772.50	27598.50	27690.50	13507	0	400
2020.09.09	12:00:00	27691.00	28047.00	27684.50	28018.00	17833	0	400
2020.09.09	16:00:00	28019.50	28206.50	27925.50	27938.50	16337	0	400
2020.09.09	20:00:00	27937.50	28073.00	27885.50	28040.50	4777	0	400
2020.09.10	00:00:00	28049.50	28049.50	27845.50	27903.50	10371	0	500
2020.09.10	04:00:00	27904.50	28046.00	27826.00	27851.50	10537	0	400
2020.09.10	08:00:00	27851.00	27970.00	27790.50	27886.00	12081	0	400
2020.09.10	12:00:00	27882.50	28171.00	27788.50	27879.00	19243	0	400
2020.09.10	16:00:00	27881.00	27918.00	27444.00	27541.00	21751	0	400
2020.09.10	20:00:00	27538.00	27660.00	27517.50	27610.00	3938	0	400
2020.09.11	00:00:00	27608.00	27718.00	27572.00	27691.00	5421	0	500
2020.09.11	04:00:00	27690.00	27782.00	27649.00	27666.00	5967	0	400
2020.09.11	08:00:00	27663.50	27773.00	27660.00	27688.50	7622	0	400
2020.09.11	12:00:00	27687.00	27828.50	27565.00	27696.00	16621	0	400
2020.09.11	16:00:00	27698.50	27782.50	27445.00	27658.50	19924	0	400
2020.09.11	20:00:00	27657.00	27684.50	27590.50	27644.00	1149	0	400
2020.09.13	20:00:00	27753.50	27812.50	27726.50	27807.50	1754	0	500
2020.09.14	00:00:00	27808.00	27926.50	27769.50	27895.50	3839	0	500
2020.09.14	04:00:00	27896.00	27978.50	27860.50	27925.50	5255	0	400
2020.09.14	08:00:00	27929.00	27956.50	27792.00	27834.00	7757	0	400
2020.09.14	12:00:00	27835.50	28064.50	27801.50	28027.00	13262	0	400
2020.09.14	16:00:00	28024.50	28082.00	27901.00	27988.00	14830	0	400
2020.09.14	20:00:00	27994.50	28034.50	27949.50	28003.50	2295	0	400
2020.09.15	00:00:00	28011.00	28042.50	27940.50	28035.00	4439	0	500
2020.09.15	04:00:00	28034.50	28137.00	28030.50	28064.00	5677	0	400
2020.09.15	08:00:00	28062.50	28199.50	28048.50	28165.00	7595	0	400
2020.09.15	12:00:00	28165.50	28240.50	28080.50	28085.50	12179	0	400
2020.09.15	16:00:00	28086.50	28142.50	27930.00	27994.00	11513	0	400
2020.09.15	20:00:00	27993.50	28046.00	27980.50	28007.00	2491	0	400
2020.09.16	00:00:00	28005.50	28090.50	27963.00	28081.50	5307	0	500
2020.09.16	04:00:00	28082.00	28114.00	28009.00	28078.00	5338	0	400
2020.09.16	08:00:00	28079.50	28187.50	28067.50	28159.00	7155	0	400
2020.09.16	12:00:00	28158.00	28227.50	28022.00	28203.50	12573	0	400
2020.09.16	16:00:00	28202.50	28364.50	28020.50	28039.00	16032	0	400
2020.09.16	20:00:00	28043.00	28108.50	28020.00	28048.50	3149	0	400
2020.09.17	00:00:00	28056.50	28064.00	27734.00	27804.50	9648	0	500
2020.09.17	04:00:00	27805.00	27821.50	27541.00	27713.00	11046	0	400
2020.09.17	08:00:00	27714.00	27839.50	27714.00	27787.50	11812	0	400
2020.09.17	12:00:00	27787.00	28055.50	27646.50	27911.00	18252	0	400
2020.09.17	16:00:00	27908.00	27918.00	27686.50	27902.50	18843	0	400
2020.09.17	20:00:00	27901.00	27992.00	27891.00	27913.50	3337	0	400
2020.09.18	00:00:00	27908.00	27952.50	27758.50	27851.50	8733	0	500
2020.09.18	04:00:00	27852.00	27932.50	27830.50	27860.00	8532	0	400
2020.09.18	08:00:00	27859.50	27927.50	27844.50	27878.00	8275	0	400
2020.09.18	12:00:00	27877.50	27969.50	27735.50	27877.50	15711	0	400
2020.09.18	16:00:00	27875.50	27897.50	27482.50	27647.50	18187	0	400
2020.09.18	20:00:00	27649.50	27723.00	27635.50	27716.00	1295	0	400
2020.09.20	20:00:00	27671.00	27730.00	27554.00	27687.00	3098	0	500
2020.09.21	00:00:00	27684.50	27775.00	27624.50	27648.00	9089	0	500
2020.09.21	04:00:00	27649.00	27660.50	27281.50	27361.50	9494	0	400
2020.09.21	08:00:00	27363.50	27372.50	27071.50	27221.00	12952	0	400
2020.09.21	12:00:00	27217.50	27218.50	26706.50	26836.50	19268	0	400
2020.09.21	16:00:00	26835.50	27150.00	26787.50	27148.00	18474	0	400
2020.09.21	20:00:00	27147.00	27243.00	27134.50	27239.50	3571	0	400
2020.09.22	00:00:00	27238.50	27293.50	27103.50	27151.50	9907	0	500
2020.09.22	04:00:00	27150.50	27168.50	27030.00	27116.50	10528	0	400
2020.09.22	08:00:00	27119.00	27234.00	27065.00	27095.00	9940	0	400
2020.09.22	12:00:00	27098.00	27278.50	26985.50	27095.00	17333	0	400
2020.09.22	16:00:00	27093.50	27334.50	27034.50	27287.50	18118	0	400
2020.09.22	20:00:00	27288.00	27374.50	27243.00	27368.00	3853	0	400
2020.09.23	00:00:00	27371.50	27402.50	27302.50	27362.50	9312	0	500
2020.09.23	04:00:00	27361.50	27446.00	27311.00	27420.00	9184	0	400
2020.09.23	08:00:00	27419.00	27514.50	27410.00	27460.00	7638	0	400
2020.09.23	12:00:00	27458.00	27480.50	27147.00	27154.50	17277	0	400
2020.09.23	16:00:00	27155.00	27241.00	26711.50	26764.00	19889	0	400
2020.09.23	20:00:00	26762.50	26859.00	26650.50	26709.50	4931	0	400
2020.09.24	00:00:00	26711.50	26894.00	26687.00	26797.00	10904	0	500
2020.09.24	04:00:00	26794.00	26827.50	26643.50	26799.50	12051	0	400
2020.09.24	08:00:00	26800.00	26862.50	26708.00	26742.00	10616	0	400
2020.09.24	12:00:00	26746.00	26895.00	26537.00	26853.00	20251	0	400
2020.09.24	16:00:00	26854.00	27093.00	26688.50	26815.00	20704	0	400
2020.09.24	20:00:00	26811.00	26975.50	26799.00	26960.00	3573	0	400
2020.09.25	00:00:00	26954.50	26995.50	26914.00	26952.50	8186	0	500
2020.09.25	04:00:00	26953.00	27006.00	26832.00	26847.50	9788	0	400
2020.09.25	08:00:00	26848.00	26890.00	26551.00	26713.00	11878	0	400
2020.09.25	12:00:00	26709.00	26945.50	26627.00	26819.00	18581	0	400
2020.09.25	16:00:00	26818.50	27240.00	26817.00	27175.50	18797	0	400
2020.09.25	20:00:00	27174.50	27199.00	27139.50	27140.00	1308	0	400
2020.09.27	20:00:00	27224.50	27272.00	27210.50	27247.00	1890	0	500
2020.09.28	00:00:00	27246.50	27302.00	27218.50	27295.50	6470	0	500
2020.09.28	04:00:00	27296.00	27435.50	27287.00	27400.50	7356	0	400
2020.09.28	08:00:00	27398.50	27558.50	27361.50	27531.50	10169	0	400
2020.09.28	12:00:00	27531.00	27699.00	27481.00	27652.00	17217	0	400
2020.09.28	16:00:00	27652.50	27720.00	27545.50	27583.50	17335	0	400
2020.09.28	20:00:00	27585.00	27690.00	27575.50	27679.00	2997	0	400
2020.09.29	00:00:00	27678.00	27698.00	27641.00	27677.00	5976	0	500
2020.09.29	04:00:00	27679.00	27738.00	27502.50	27539.00	8585	0	400
2020.09.29	08:00:00	27538.50	27626.50	27476.50	27570.50	9441	0	400
2020.09.29	12:00:00	27571.00	27603.00	27334.50	27371.50	17373	0	400
2020.09.29	16:00:00	27371.00	27564.50	27348.00	27447.50	17484	0	400
2020.09.29	20:00:00	27447.00	27557.00	27440.50	27547.00	3791	0	400
2020.09.30	00:00:00	27544.00	27715.00	27360.00	27368.00	12094	0	500
2020.09.30	04:00:00	27368.50	27399.50	27161.00	27288.50	13624	0	400
2020.09.30	08:00:00	27290.00	27434.50	27211.50	27337.00	12355	0	400
2020.09.30	12:00:00	27337.50	27919.00	27311.00	27892.00	18734	0	400
2020.09.30	16:00:00	27892.50	28024.50	27577.50	27751.50	19245	0	400
2020.09.30	20:00:00	27755.00	27889.00	27633.00	27888.00	5859	0	400
2020.10.01	00:00:00	27896.00	27995.00	27840.00	27962.00	9069	0	500
2020.10.01	04:00:00	27959.50	28078.50	27930.00	28015.50	9986	0	400
2020.10.01	08:00:00	28015.00	28056.00	27913.50	28034.50	12326	0	400
2020.10.01	12:00:00	28040.00	28043.50	27750.00	27892.50	19337	0	400
2020.10.01	16:00:00	27892.00	27935.00	27664.50	27819.00	18951	0	400
2020.10.01	20:00:00	27824.00	27860.50	27761.00	27797.00	4289	0	400
2020.10.02	00:00:00	27803.00	27846.00	27673.00	27756.00	8626	0	500
2020.10.02	04:00:00	27755.50	27775.00	27248.50	27487.00	13601	0	400
2020.10.02	08:00:00	27487.50	27546.00	27320.50	27405.00	12448	0	400
2020.10.02	12:00:00	27403.50	27716.50	27314.50	27540.50	19074	0	400
2020.10.02	16:00:00	27541.50	27859.50	27495.50	27690.50	19383	0	400
2020.10.02	20:00:00	27702.50	27778.00	27651.00	27753.50	1334	0	400
